Date,open,high,low,close,Volume,RSI,MACD,OnBalanceVolume,silver_mean,sp500_mean,vix_mean,gold_mean
30-04-2021,53557.75,57945.45,53026.8025,57694.2175,155327373.7,54.74647206,-851.4600483,77619510.07,,4189.64,18.14,
01/05/21,57695.2125,58469.9675,56995.685,57802.1925,113418521.6,54.97395287,-548.3917578,191038031.7,,,,
02/05/21,57801.4375,57908.855,56046.2125,56574.3025,117296739.8,51.785623,-402.6469517,73741291.95,26.3375,,,1776.39
03/05/21,56574.3025,58983.31,56451.15,57164.1975,159978320.1,53.1902018,-236.8137054,233719612.1,26.684,4192.325,18.48,1785.41
04/05/21,56969.07375,57125.5625,53079.47,53180.385,225381531.1,43.92610573,-420.5284131,8327447.079,26.443,4171.855,18.82,1782.04
05/05/21,53179.55875,57984.46625,52905.1,57430.7975,213590106,53.28826416,-221.6478746,221402656,26.8665,4172.33,18.995,1800.465
06/05/21,57444.3675,58364.625,55243.535,56398.11875,207270352.9,51.04058473,-146.0919499,14132303.11,27.327,4185.385,18.4,1821.53
07/05/21,56400.26,58651.82375,55242.90375,57313.31875,206851971.1,52.92212913,-12.38956499,220984274.2,,4221.475,17.57,
08/05/21,57316.17625,59498.35125,56915.10375,58863.54875,194207691.2,56.01563773,216.2885379,415191965.3,,,,
09/05/21,58864.10875,59224.47875,56179.99375,58243.81625,183988100.9,54.48202351,343.7479514,231203864.4,27.383,,,1834.085
10/05/21,58248.22875,59516.7875,53024.66375,55815.72125,259480871.7,48.81431732,245.7919597,-28277007.31,27.442,4208.365,18.5,1835.33
11/05/21,55813.24125,56861.2925,54440.67125,56678.83,207052675.9,50.76480566,234.8104624,178775668.6,27.2925,4151.225,21.505,1825.39
12/05/21,56678.88625,57989.75125,48462.82625,49589.49625,297892921,37.96273154,-339.9292915,-119117252.4,27.041,4096.8,25.005,1820.055
13-05-2021,49558.7875,51357.0775,45777.8,49674.5575,279675196.5,38.1129547,-781.2915854,160557944.1,27.148,4093.75,24.58,1834.705
14-05-2021,49671.625,51468.60625,48819.7625,49848.41125,152784139.5,38.54812944,-1104.510117,313342083.7,,4151.72,20.29,
15-05-2021,49848.7,50667.96125,46557.525,46753.7375,209076970.6,33.92754868,-1591.107483,104265113.1,,,,
16-05-2021,46760.4075,49790.89125,43828.94125,46423.49,242732248.4,33.45597953,-1981.065534,-138467135.4,27.772,,,1854.4
17-05-2021,46422.79375,46619.69,42068.38875,43538.8275,297618529.7,29.65210806,-2494.171579,-436085665.1,28.178,4166.61,19.805,1867.305
18-05-2021,43556.955,45793.57,42265.63,42856.725,237433004.9,29.05257168,-2922.698349,-673518670,27.9295,4146.89,20.115,1868.77
19-05-2021,42854.6,43573.01125,29143.225,36663.78875,521118221.7,22.84020889,-3718.459882,-1194636892,27.7355,4107.07,22.32,1872.67
20-05-2021,36678.80625,42424.19625,34892.8875,40518.76,302147988.4,32.51921945,-3992.159404,-892488903.2,27.5925,4140.55,21.5,1876.265
21-05-2021,40514.28,42228.59875,33445.15,37255.87625,295684387.1,29.18370863,-4421.550119,-1188173290,,4162.24,20.235,
22-05-2021,37253.345,38844.64,35208.51875,37450.725,215537802.6,29.64782799,-4692.057258,-972635487.7,,,,
23-05-2021,37445.6275,38269.79,31093.07375,34675.245,284632105.4,26.939884,-5072.114792,-1257267593,27.6405,,,1880.51
24-05-2021,34684.42625,39948.7,34333.98375,38803.05875,233670321.8,36.26611689,-4982.4797,-1023597271,27.85,4183.61,19.5,1889.165
25-05-2021,38802.7425,39794.8525,36434.88,38324.9,209608669.6,35.69759499,-4894.053549,-1233205941,27.821,4197.03,18.545,1897.29
26-05-2021,38324.35875,40843.36,37801.78875,39239.4575,205592220.3,37.70894915,-4695.746609,-1027613721,27.7465,4193.785,17.87,1896.04
27-05-2021,39237.715,40406.8975,37137.3975,38527.625,186124674.7,36.74586765,-4543.410185,-1213738395,27.8895,4201.405,17.39,1899.97
28-05-2021,38531.50375,38874.995,34690.52125,35665.5075,253466555.8,33.0864874,-4600.997857,-1467204951,,4207.445,16.785,
29-05-2021,35666.09125,37339.2425,33623.64375,34604.0725,246466004.8,31.82092895,-4937.934297,-1713670956,,,,
30-05-2021,34601.31875,36493.175,33386.25375,35641.385,153130556.7,34.46000737,-4844.398837,-1560540399,27.944,,,1904.385
31-05-2021,35637.88,37500.305,34144.95375,37248.6075,190968156.4,38.43590028,-4587.697763,-1369572243,27.952,,,1903.2
01/06/21,37241.86,37897.4225,35692.05,36687.73375,173428513.3,37.57911788,-4379.039298,-1543000756,27.992,4209.275,17.565,1901.89
02/06/21,36693.42375,38228.36,35925.41,37580.10375,134131469.6,39.87512683,-4094.470651,-1408869286,27.7605,4207.465,17.675,1889.09
03/06/21,37564.56625,39475.25,37175.995,39247.1125,138575889,44.01771733,-3691.876618,-1270293397,27.7605,4192.145,17.88,1881.12
04/06/21,39247.83875,39282.90125,35562.9475,36835.5475,179416699.7,39.75079113,-3526.75683,-1449710097,,4217.965,17.26,
05/06/21,36836.99875,37937.58625,34809.62125,35521.91,157476457.4,37.61202521,-3461.990109,-1607186555,,,,
06/06/21,35523.3375,36469.69875,35228.43875,35799.365,110070069.4,38.36651765,-3349.660911,-1497116485,27.7935,,,1894.06
07/06/21,35808.54,36810.955,33306.775,33552.47125,150219601.5,34.70708956,-3402.720318,-1647336087,27.732,4227.935,16.885,1895.51
08/06/21,33547.2075,34059.61625,30995.88,33381.825,208609208.9,34.43831518,-3419.126445,-1855945296,27.6525,4230.53,16.82,1889.775
09/06/21,33382.41,37534.05875,32398.73,37385.37125,205712284.3,45.1633621,-3073.644633,-1650233011,27.837,4226.265,17.54,1892.965
10/06/21,37389.865,38453.14625,35798.25,36674.84875,169371179.9,43.79422268,-2824.620568,-1819604191,27.667,4233.875,17.145,1888.465
11/06/21,36677.415,37680.48625,35935.25125,37334.85625,121467446.8,45.44863909,-2544.676665,-1698136744,,4245.175,15.92,
12/06/21,37324.2725,37452.7125,34619.005,35559.09625,126067267.1,41.87701959,-2438.0043,-1824204012,,,,
13-06-2021,35549.53,39370.15,34763.20625,39021.7875,166866096.8,50.11033849,-2050.419478,-1657337915,27.8605,,,1870.715
14-06-2021,39028.635,41037.2575,38738.9025,40528.28125,221799119.1,53.21549492,-1603.213413,-1435538796,27.745,4251.735,16.22,1862.375
15-06-2021,40527.9325,41341.75125,39525.73625,40155.34875,170544803.6,52.34689831,-1264.317653,-1606083599,27.2945,4250.93,16.64,1835.51
16-06-2021,40150.92125,40499.45125,38110.35,38339.74625,175769614,48.22065201,-1129.227241,-1781853213,26.4385,4236.29,17.565,1792.95
17-06-2021,38343.78375,39562.62375,37369.70125,38082.21875,167517874.7,47.64694995,-1031.061993,-1949371088,26.2235,4221.11,18.115,1771.21
18-06-2021,38086.86375,38199.99875,35126.43625,35817.72625,149551080.6,42.8221281,-1123.04518,-2098922169,,4185.62,18.835,
19-06-2021,35816.45625,36472.5975,34814.69375,35488.03,111603389.9,42.15282667,-1208.6141,-2210525558,,,,
20-06-2021,35483.0825,36161.16125,33336.48125,35593.205,137694730.5,42.46189364,-1253.491867,-2072830828,25.886,,,1775.365
21-06-2021,35598.4725,35743.125,31256.10625,31614.505,250032216.9,34.87442484,-1591.756878,-2322863045,25.842,4199.1,19.81,1781.065
22-06-2021,31622.5975,33297.3725,28803.915,32507.995,258281801.2,37.57222364,-1767.364087,-2064581244,25.832,4235.52,17.29,1779.055
23-06-2021,32510.05625,34864.275,31704.5225,33675.52125,184742933.5,41.01087965,-1791.671184,-1879838310,25.8975,4245.55,16.28,1776.81
24-06-2021,33676.79,35296.9875,32306.62375,34657.795,122516176.8,43.8148914,-1711.939281,-1757322133,26.0205,4261.725,15.975,1778.775
